URL,DOI,Abstract
https://doi.org/10.1063/1.4939551,10.1063/1.4939551,"We demonstrate terahertz lasing emission from a quantum cascade structure, realized with InAs/AlAs0.16Sb0.84 heterostructures. Due to the lower effective electron mass, InAs based active regions are expected to provide a higher optical gain compared to structures consisting of GaAs or InGaAs. The growth by molecular beam epitaxy enabled the fabrication of monolayer-thick barriers, required for the active region, which is based on a 3-well resonant phonon depletion design. Devices were processed in a double-metal waveguide geometry to ensure high mode confinement and low optical losses. Lasing emission at 3.8 THz was observed at liquid helium temperatures by applying a magnetic field perpendicular to the layered structure in order to suppress parasitic scattering channels. These results demonstrate the feasibility of InAs based active regions for terahertz quantum cascade lasers, potentially enabling higher operating temperatures."
https://doi.org/10.1088/1367-2630/17/2/023050,10.1088/1367-2630/17/2/023050,"Terahertz quantum cascade lasers based on InGaAs wells and quaternary AlInGaAs barriers were measured in magnetic field. This study was carried out on a four-quantum-well active-region design with photon energy of 14.3 meV processed with both Au and Cu waveguides. The heterostructure operates up to 148Kat B = 0 T in a Cu waveguide. The complete magneto-spectroscopic study allowed the comparison of emission and transport data. Increasing the magnetic field, the low effective mass of the InGaAs wells allowed us to reach the very strong confinement regime. At B = 12 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 195Kfor the devices with Cu waveguide. Additional lasing at 5.9 meV was detected for magnetic fields between 7.3 and 7.7 T."
https://doi.org/10.1063/1.2404598,10.1063/1.2404598,The authors report a GaAs/Al0.1Ga0.9As quantum cascade laser based on a bound-to-continuum transition optimized for low frequency operation. High tunability of the gain curve is achieved by the Stark effect and laser emission is measured between 1.6 and 1.8 THz. Pulsed mode operation up to 95 K and continuous wave operation up to 80 K are reported. The dynamical range in current is as high as 43%.
https://doi.org/10.1063/1.2793177,10.1063/1.2793177,Two terahertz quantum cascade lasers based on GaAs/Al0.1Ga0.9As heterostructures are reported. Pulsed mode operation up to 84 K and continuous wave (cw) power of 0.36 mW at 10 K are demonstrated for the laser which emits from 1.34 to 1.58 THz. The other laser shows emission from 1.2 to 1.32 THz with pulsed mode operation up to 69 K and cw power of 0.12 mW at 10 K.
https://doi.org/10.1088/0268-1242/20/7/013,10.1088/0268-1242/20/7/013,"We report our development of terahertz (THz) quantum-cascade lasers (QCLs) based on two novel features. First, the depopulation of the lower radiative level is achieved through resonant longitudinal optical (LO-)phonon scattering. This depopulation mechanism is robust at high temperatures and high injection levels. In contrast to infrared QCLs that also use LO-phonon scattering for depopulation, in our THz lasers the selectivity of the depopulation scattering is achieved through a combination of resonant tunnelling and LO-phonon scattering, hence the term resonant phonon. This resonant-phonon scheme allows a highly selective depopulation of the lower radiative level with a sub-picosecond lifetime, while maintaining a relatively long upper level lifetime (>5 ps) that is due to upper-to-ground-state scattering. The second feature of our lasers is that mode confinement is achieved by using a novel double-sided metal–metal waveguide, which yields an essentially unity mode confinement factor and therefore a low total cavity loss at THz frequencies. Based on these two unique features, we have achieved some record performance, including, but not limited to, the highest pulsed operating temperature of 137 K, the highest continuous-wave operating temperature of 97 K, and the longest wavelength of 141 μm (corresponding to 2.1 THz) without the assistance of a magnetic field."
https://doi.org/10.1063/5.0176281,10.1063/5.0176281,"We present the simulation, design, fabrication, and characterization of planarized double metal quantum cascade lasers based on InGaAs/GaAsSb. Intended for astrophysical heterodyne measurements and having the cavity embedded in benzocyclobutene, the devices are equipped with thermal bridges on either side of the ridge, in order to improve the heat dissipation. The lasers are shown to vertically emit a single mode around 26 lm in pulsed operation, with peak powers of ≈30 μW and a current density threshold of Jth≈3.7 kA/cm2. Maximum operation temperature is around 170 K, with the maximum supported duty cycle being extended from the initial 15% to about 30% with the help of the improved thermal management technique."
https://doi.org/10.1063/1.3068496,10.1063/1.3068496,"A quantum cascade laser based on a three well active module and emitting at 3 THz is demonstrated. The optical transition is vertical in real space and localized in an Al0.03Ga0.97As quantum well. Maximum operating temperature of 123 K in pulsed mode is reported, with threshold current densities as low as 110 A/cm2 at 10 K and 175 A/cm2 at 100 K. High slope efficiency values testify the good internal quantum efficiency of the structure."
https://doi.org/10.1063/1.4943657,10.1063/1.4943657,"We have realized GaAs/AlAs quantum-cascade lasers operating at 4.75 THz exhibiting more than three times higher wall plug efficiencies than GaAs/Al0.25Ga0.75As lasers with an almost identical design. At the same time, the threshold current density at 10K is reduced from about 350 A/cm2 for the GaAs/Al0.25Ga0.75As laser to about 120 A/cm2 for the GaAs/AlAs laser. Substituting AlAs for Al0.25Ga0.75As barriers leads to a larger energy separation between the subbands reducing the probability for leakage currents through parasitic states and for reabsorption of the laser light. The higher barriers allow for a shift of the quasi-continuum of states to much higher energies. The use of a binary barrier material may also reduce detrimental effects due to the expected composition fluctuations in ternary alloys."
https://doi.org/10.1063/1.2136222,10.1063/1.2136222,We demonstrate circular-shaped microcavity quantum-cascade lasers emitting in the THz region between 3.0 and 3.8 THz. The band structure design of the GaAs/Al0.15Ga0.85As heterostructure is based on longitudinal-optical phonon scattering for depopulation of the lower radiative state. A double metal waveguide is used to confine the whispering gallery modes in the gain medium. The threshold current density is 900 A/cm2 at 5 K. Lasing takes place in pulsed-mode operation up to a heat-sink temperature of 140 K.
https://doi.org/10.1063/1.4816352,10.1063/1.4816352,"Terahertz quantum cascade lasers incorporating lattice-matched quaternary AlInGaAs barriers grown by molecular beam epitaxy on InP substrate are reported. Four quantum well active region devices exhibited lasing at 3.8 THz with threshold current densities as low as 74 A/cm2 at 10 K. From optical characterization and a doping study of the active region, an upper state lifetime of 8 ps, as well as a long transport time across the active region of 68 ps and a ratio of free carrier loss to gain cross sections of 4.6%, is reported. A maximum operating temperature of 130K was achieved for a device with a conduction band discontinuity of 0.14 eV."
https://doi.org/10.1063/1.3532106,10.1063/1.3532106,"We report the demonstration of a terahertz quantum cascade laser based on the In0.53Ga0.47As/GaAs0.51Sb0.49 type II material system. The combination of low effective electron masses and a moderate conduction band offset makes this material system highly suitable for such devices. The active region is a three-well phonon depopulation design and laser ridges have been processed in a double-metal waveguide configuration. The devices exhibit a threshold current density of 2 kA/cm2, provide peak optical powers of 1.8 mW, and operate up to 102 K. Emission frequencies are in the range between 3.6 and 4.2 THz."
https://doi.org/10.1364/OE.16.003242,10.1364/OE.16.003242,"We report terahertz quantum cascade lasers operating in pulsed mode at an emission frequency of 3 THz and up to a maximum temperature of 178 K. The improvement in the maximum operating temperature is achieved by using a three-quantum-well active region design with resonantphonon depopulation and by utilizing copper, instead of gold, for the cladding material in the metal-metal waveguides."
https://doi.org/10.1063/1.2737129,10.1063/1.2737129,Improved optical power performance of bound-to-continuum quantum-cascade lasers operating at 2.83 THz is reported. Peak optical powers of 100 mW at 4 K and power conversion-efficiencies as high as nw=(5.5±0.4%)  in continuous wave at 40 K were measured. The nw values were assessed via an experimental method based on the analysis of the local lattice temperature as extracted by microprobe photoluminescence versus electrical power. From the measured nw values they extracted a slope efficiency value 0.41±0.11 W/A.
https://doi.org/10.1063/1.2216112,10.1063/1.2216112,"We present two different terahertz quantum cascade laser (QCL) designs based onGaAs/Al0.3Ga0.7As heterostructures that feature a depopulation mechanism of two longitudinal-optical phonon scattering events. This scheme is intended to improve high temperature operation by reducing thermal backfilling of the lower radiative state. The better of these two devices displays a threshold current density of 170 A/cm2 at 5 K and lases up to 138 K in pulsed mode and 105 K in continuous-wave mode. However, contrary to expectation, we observed no improvement in temperature performance compared to single-resonant-phonon designs, which suggests that the thermal backfilling is not yet a limiting factor for high temperature terahertz QCL operation."
https://doi.org/10.1063/1.3496035,10.1063/1.3496035,"We report the design and performance of GaAs/Al0.15Ga0.85As terahertz quantum cascade lasers with double-phonon resonant depopulation and a vertical lasing transition. Devices were processed into gold-clad double-metal waveguides. Lasing at 3 THz was observed up to a heat-sink temperature of 172 K, which compares favorably with the performance of single-phonon resonant depopulation devices based on vertical lasing transitions. These results demonstrate that terahertz quantum cascade lasers based on double-phonon depopulation designs may be a viable alternative to single-phonon depopulation designs for achieving high-temperature operation."
https://doi.org/10.1063/1.1611642,10.1063/1.1611642,"We report lasing at ∼3.0 THz (λ≈98– 102 mm) in a quantum-cascade structure in which mode confinement is provided by a double-sided metal waveguide. The depopulation mechanism is based on resonant phonon scattering, as in our previous work. Lasing takes place in pulsed mode up to a heat-sink temperature of 77 K. The waveguide consists of metallic films placed above and below the 10-mm-thick multiple-quantum-well gain region, which gives low losses and a modal confinement factor of nearly unity. Fabrication takes place via low-temperature metallic wafer bonding and subsequent substrate removal using selective etching. This type of waveguide is expected to be increasingly advantageous at even longer wavelengths. "
https://doi.org/10.1063/1.2437071,10.1063/1.2437071,The authors report on a design of terahertz quantum-cascade lasers based on three-well active modules. Each module consists of two tunnel-coupled wells for the two lasing states and another well for both resonant-phonon depopulation and carrier injection. This design is the simplest so far among the various published working devices. The test device has a lasing frequency of 3.4 THz and maximum operating temperature of 142 K.
https://doi.org/10.1063/1.3579260,10.1063/1.3579260,"We report the design and performance of terahertz quantum cascade laser sources based on intracavity difference frequency generation in dual-wavelength mid-infrared quantum cascade lasers with a passive nonlinear section at the exit facet, designed for giant second-order nonlinear susceptibility. These devices operate in the mid-infrared at λ1=8.4 μm and λ2=9.5 μm, with terahertz output at the difference frequency, λ3=73 μm. Terahertz output of approximately 100 mW was observed up to a heat sink temperature of 210 K."
https://doi.org/10.1063/1.5110305,10.1063/1.5110305,"We present a terahertz quantum cascade laser operating on a thermoelectric cooler up to a record-high temperature of 210.5 K. The active region design is based on only two quantum wells and achieves high temperature operation thanks to a systematic optimization by means of a nonequilibrium Green’s function model. Laser spectra were measured with a room temperature detector, making the whole setup cryogenic free. At low temperatures (∼40 K), a maximum output power of 200 mW was measured."
https://doi.org/10.1088/1361-6641/ab1401,10.1088/1361-6641/ab1401,"In this paper, a two-phonon-resonance terahertz quantum cascade laser (THz QCL) based on GaN/AlGaN material system is proposed. GaN/AlGaN material system is first studied in two phonon- resonance active region structure by using rate equations. The active region adds an energy state above the upper laser state. The energy state difference between additional state and the upper laser state is equal to the longitudinal optical phonon energy which has a large magnitude (∼90 meV). The simulation results show that the proposed THz QCL can get better optical properties compared with the traditional three-level active region building in the same material system and has the superiority in improving electronic utilization. The results also show that two-phonon-resonance THz QCL based on GaN/AlGaN material system can gain the peak output power of 8 mW at the temperature of 230 K."
https://doi.org/10.1063/5.0155250,10.1063/5.0155250,"We present an experimental study on a terahertz quantum cascade laser (THz QCL) design that combines both two-well injector and directphonon scattering schemes, i.e., a so-called two-well injector direct-phonon design. As a result of the two-well injector direct-phonon scheme presented here, the lasers benefit from both a direct phonon scattering scheme for the lower laser level depopulation and a setback for the doping profile that reduces the overlap of the doped region with active laser states. Additionally, our design also has efficient isolation of the active laser levels from excited and continuum states as indicated by negative differential resistance behavior all the way up to room temperature. This scheme serves as a good platform for improving the temperature performance of THz QCLs as indicated by the encouraging temperature performance results of the device with a relatively high doping level of 7.561010 cm-2 and Tmax ∼167 K. With the right optimization of the molecular beam epitaxy growth and interface quality, the injection coupling strength, and the doping density and its profile, the device"
